id,temperatura,pressao,altitude,umidade,co2,poeira,tempo_registro
1,24.08,93212.06,753.57,64.0,,0.0,2024-10-29 18:58:39
2,24.12,93208.42,753.89,64.0,,0.0,2024-10-29 18:59:09
3,23.94,93213.88,753.41,64.0,,0.0,2024-10-29 18:59:39
4,24.01,93203.15,754.36,64.0,,0.0,2024-10-29 19:00:09
5,24.03,93204.41,754.37,64.0,,0.0,2024-10-29 19:00:39
6,24.04,93203.2,754.36,64.0,,0.0,2024-10-29 19:01:09
7,23.97,93206.88,754.03,63.0,,0.0,2024-10-29 19:01:39
8,23.78,93207.27,754.0,63.0,,0.0,2024-10-29 19:02:09
9,23.73,93208.98,753.84,63.0,,0.0,2024-10-29 19:02:39
10,23.81,93210.62,753.7,63.0,,0.0,2024-10-29 19:03:39
11,23.75,93214.3,753.37,63.0,,0.0,2024-10-29 19:04:09
12,23.7,93211.66,753.6,62.0,,0.0,2024-10-29 19:04:39
13,23.64,93211.72,753.6,62.0,,0.0,2024-10-29 19:05:09
14,23.55,93212.1,753.56,62.0,,0.0,2024-10-29 19:05:39
15,23.71,93218.2,753.02,62.0,,0.0,2024-10-29 19:06:09
16,23.58,93217.05,753.12,62.0,,0.0,2024-10-29 19:06:40
17,23.56,93214.28,753.37,61.0,,0.0,2024-10-29 19:07:09
18,23.58,93218.58,752.99,61.0,,0.0,2024-10-29 19:07:40
19,23.54,93215.48,753.26,61.0,,0.0,2024-10-29 19:08:09
20,23.54,93216.06,753.21,61.0,,0.0,2024-10-29 19:08:40
21,23.54,93222.34,752.65,61.0,,0.0,2024-10-29 19:09:10
22,23.5,93217.91,753.05,61.0,,0.0,2024-10-29 19:09:40
23,23.45,93219.58,752.87,60.0,,0.0,2024-10-29 19:10:10
24,23.43,93222.25,752.66,60.0,,0.0,2024-10-29 19:10:40
25,23.45,93221.38,752.74,60.0,,0.0,2024-10-29 19:11:10
26,23.3,93218.11,753.03,60.0,,0.0,2024-10-29 19:11:40
27,23.47,93220.08,752.86,60.0,,0.0,2024-10-29 19:12:10
28,23.38,93217.55,753.08,59.0,,0.0,2024-10-29 19:12:40
29,23.38,93217.22,753.11,59.0,,0.0,2024-10-29 19:13:10
30,23.34,93213.44,753.45,59.0,,0.0,2024-10-29 19:13:40
31,23.26,93217.19,753.11,59.0,,0.0,2024-10-29 19:14:10
32,23.33,93221.52,752.73,59.0,,0.0,2024-10-29 19:14:40
33,23.16,93218.25,753.02,59.0,,0.0,2024-10-29 19:15:09
34,23.24,93221.88,752.7,59.0,,0.0,2024-10-29 19:15:39
35,23.18,93219.88,752.87,59.0,,0.0,2024-10-29 19:16:09
36,23.23,93220.52,752.82,59.0,,0.0,2024-10-29 19:16:39
37,23.19,93219.64,752.89,58.0,,0.0,2024-10-29 19:17:09
38,22.95,93223.29,752.57,58.0,,0.0,2024-10-29 19:18:10
39,22.88,93223.36,752.56,58.0,,0.0,2024-10-29 19:18:40
40,22.86,93223.81,752.52,58.0,,0.0,2024-10-29 19:19:10
41,22.83,93223.61,752.54,58.0,,0.0,2024-10-29 19:19:40
42,22.91,93223.58,752.54,58.0,,0.0,2024-10-29 19:20:10
43,22.85,93226.84,752.25,58.0,,0.0,2024-10-29 19:20:40
44,22.8,93227.88,752.16,58.0,,0.0,2024-10-29 19:21:10
45,22.89,93225.12,752.41,58.0,,0.0,2024-10-29 19:21:40
46,22.86,93223.34,752.56,58.0,,0.0,2024-10-29 19:22:10
47,22.8,93227.58,752.19,58.0,,0.0,2024-10-29 19:22:40
48,22.69,93229.66,752.0,58.0,,0.0,2024-10-29 19:23:10
49,22.72,93224.39,752.54,58.0,,0.0,2024-10-29 19:23:40
50,22.78,93226.06,752.32,58.0,,0.0,2024-10-29 19:24:10
51,22.77,93229.42,752.02,58.0,,0.0,2024-10-29 19:24:40
52,22.75,93227.41,752.2,58.0,,0.0,2024-10-29 19:25:10
53,22.7,93224.57,752.46,57.0,,0.0,2024-10-29 19:25:40
54,22.74,93228.99,752.06,57.0,,0.0,2024-10-29 19:26:10
55,22.6,93230.55,751.92,57.0,,0.0,2024-10-29 19:26:40
56,22.58,93230.7,751.84,57.0,,0.0,2024-10-29 19:27:10
57,22.63,93233.56,751.66,57.0,,0.0,2024-10-29 19:27:40
58,22.66,93232.06,751.79,57.0,,0.0,2024-10-29 19:28:11
